x,y,z,
-0.172668,0.435486,0.929504,
-0.186646,0.396484,0.93866,
-0.157349,0.378906,0.920593,
-0.071106,0.404602,0.833923,
0.0194092,0.428467,0.809082,
0.00268555,0.377197,0.738586,
-0.0132446,0.435486,0.701355,
-0.083252,0.468567,0.699829,
-0.0765991,0.46582,0.683838,
-0.116089,0.481995,0.709106,
-0.164246,0.492004,0.733826,
-0.155884,0.494019,0.726624,
-0.103333,0.537231,0.733765,
-0.083252,0.576233,0.794434,
-0.0953369,0.57312,0.839294,
-0.0933228,0.603394,0.849365,
-0.09729,0.625916,0.828491,
-0.169983,0.690125,0.794922,
0.000854492,0.626221,0.77179,
-0.0161133,0.598572,0.779114,
-0.0470581,0.538818,0.738403,
-0.00579834,0.516541,0.744446,
0.0159302,0.566528,0.789368,
0.0420532,0.52417,0.831055,
-0.000671387,0.521851,0.806946,
0.0108643,0.508667,0.779114,
0.0421753,0.529175,0.76947,
0.0532227,0.562439,0.774292,
0.0577393,0.612366,0.780334,
0.0689697,0.580566,0.789124,
-0.02948,0.536255,0.789551,
-0.0203857,0.510376,0.801208,
-0.0210571,0.618225,0.822998,
-0.0193481,0.632385,0.840027,
0.00427246,0.661499,0.847107,
-0.0457764,0.641663,0.87561,
-0.11499,0.631042,0.927307,
-0.118286,0.657776,0.973816,
-0.162842,0.615295,1.00122,
-0.128052,0.656494,1.03217,
-0.151123,0.672302,1.0213,
-0.208252,0.637573,0.997742,
-0.25708,0.577087,0.939819,
-0.235657,0.519897,0.873413,
-0.138428,0.556091,0.804321,
-0.0757446,0.497559,0.741455,
-0.0379028,0.393005,0.731384,
-0.0354004,0.351562,0.730286,
-0.0700073,0.378357,0.729248,
-0.0708008,0.475952,0.753601,
-0.0406494,0.491455,0.757324,
-0.0176392,0.431274,0.759705,
-0.0213623,0.342041,0.762573,
-0.0437012,0.293823,0.742615,
-0.0301514,0.318176,0.75708,
0.0253906,0.508545,0.805603,
0.0223389,0.530884,0.817932,
-0.0164795,0.437012,0.809937,
-0.00146484,0.354309,0.800537,
0.0120239,0.286194,0.767395,
0.0134277,0.360413,0.747803,
0.0482788,0.430481,0.75769,
0.0762329,0.47699,0.762878,
0.0877075,0.454712,0.744751,
0.0187378,0.405151,0.671387,
-0.012146,0.382874,0.616516,
0.000732422,0.375549,0.576904,
0.0272217,0.401123,0.586853,
0.120728,0.57312,0.615234,
0.0900879,0.733337,0.684204,
-0.0566406,0.775452,0.749268,
-0.227478,0.779419,0.70459,
-0.226318,0.793396,0.638733,
-0.121887,0.805603,0.57782,
-0.203796,0.854248,0.547058,
-0.237244,0.924194,0.516846,
-0.250916,0.910522,0.477112,
-0.21698,0.86438,0.367981,
-0.0529175,0.935608,0.284851,
0.052002,0.92218,0.223572,
-0.00360107,0.870117,0.193848,
-0.139709,0.773804,0.195618,
-0.154175,0.767334,0.167786,
0.0106201,1.13098,0.183838,
0.287598,1.4093,0.209167,
0.13501,1.33997,0.200256,
-0.0964355,1.06476,0.173462,
-0.108948,0.870972,0.168274,
-0.00372314,0.936951,0.142761,
0.0806885,1.02289,0.143372,
0.0371704,1.07397,0.121826,
0.0267944,1.02686,0.129639,
0.0479126,1.02271,0.123413,
0.057251,0.986755,0.130859,
0.0507812,0.965637,0.114075,
0.113831,0.948486,0.10675,
0.142151,0.964722,0.11145,
0.150391,1.04486,0.088623,
0.0840454,1.11603,0.101379,
0.131653,1.12946,0.125183,
0.202881,1.14081,0.12738,
0.287781,1.1358,0.11731,
0.214905,1.09229,0.097168,
0.146606,1.02618,0.136719,
0.126587,1.005,0.149597,
0.187012,1.11969,0.133423,
